name_key,total_inspections,total_violations,avg_violation_count,fails,BusinessName,address,latitude,longitude,last_inspection_date,facility_rating_status,fail_rate
MANSION ON SUTTER,3,3,1.0,0,mansion on sutter,1409 sutter street,37.787193,-122.4237285,2024-10-24,0,0.0
MANZONI,3,13,4.333333333333333,0,manzoni,2790 diamond street,37.734777,-122.43402,2024-11-19,0,0.0
MAPLE,3,5,1.6666666666666667,0,maple,5820 mission street,37.709343,-122.4519075,2024-11-12,0,0.0
MARA S,5,0,0.0,0,mara s,503 columbus avenue,37.799501,-122.409084,2023-07-27,0,0.0
MARAKIE GROCERY,1,0,0.0,0,marakie grocery,1321 golden gate avenue,37.779435,-122.432247,2025-01-15,0,0.0
MARAS DONUTS ITALIAN PASTRY,2,4,2.0,0,maras donuts italian pastry,503 columbus avenue,37.799604,-122.409414,2025-02-04,0,0.0
MARCELA S TAQUERIA,6,18,3.0,0,marcela s taqueria,595 geary street,37.786653,-122.4129825,2025-04-18,0,0.0
MARCELLA S LASAGNERIA E CUCINA,5,5,1.0,0,marcella s lasagneria e cucina,1099 tennessee street,37.758087,-122.3891415,2024-08-21,0,0.0
MARCELLAS AT DOGPATCH GAMES,4,4,1.0,0,marcellas at dogpatch games,1099 tennessee street,37.758087,-122.3891415,2025-06-11,0,0.0
MARCELLO S PIZZA,2,1,0.5,0,marcello s pizza,420 castro street,37.762057,-122.435145,2024-10-08,0,0.0
MARCO POLO ITALIAN ICE CREAM,4,0,0.0,0,marco polo italian ice cream,1447 taraval street,37.742728,-122.481566,2023-05-24,0,0.0
MARCO POLO ITALIAN ICE CREAM INC,6,7,1.1666666666666667,0,marco polo italian ice cream inc,90 92 charter oak avenue apt,37.73681798,-122.405312,2025-03-19,0,0.0
MARIA WOODWORTH,1,0,0.0,0,maria woodworth,1442 sanchez street,37.746081,-122.4294165,2024-10-15,0,0.0
MARIGOLD,2,4,2.0,0,marigold,2681 21st street,37.7574875,-122.4085181,2025-01-09,0,0.0
MARIN,1,0,0.0,0,marin,1 ferry building,37.79493499,-122.394265,2022-08-04,0,0.0
MARINA DELI LIQUORS,8,4,0.5,0,marina deli liquors,2299 chestnut street,37.800099,-122.440932,2025-04-15,0,0.0
MARINA INDIAN CUISINE,2,1,0.5,0,marina indian cuisine,1968 lombard street,37.800423,-122.433939,2024-11-13,0,0.0
MARINA MEATS,1,0,0.0,0,marina meats,2395 chestnut street,37.799802,-122.44257,2024-09-20,0,0.0
MARINA MEATS INC,2,0,0.0,0,marina meats inc,2395 chestnut street,37.799944,-122.442716,2022-06-10,0,0.0
MARINA MIDDLE SCHOOL,4,0,0.0,0,marina middle school,3500 fillmore street,37.801776,-122.43641,2025-05-16,0,0.0
MARINA PIZZA PASTA,1,0,0.0,0,marina pizza pasta,2139 lombard street fl 1,37.7995287,-122.4366603,2023-06-02,0,0.0
MARINA ROUND TABLE PIZZA,6,2,0.3333333333333333,1,marina round table pizza,1503 north point street,37.8040673,-122.4321742,2025-03-05,0,0.16666666666666666
MARINA SUBMARINE,2,0,0.0,0,marina submarine,2299 union street,37.796796,-122.436846,2025-01-21,0,0.0
MARINA SUPER,1,0,0.0,0,marina super,2323 chestnut street,37.800124,-122.441497,2022-01-14,0,0.0
MARINA SUPERMARKET,2,2,1.0,0,marina supermarket,2323 chestnut street,37.799937,-122.441499,2025-04-15,0,0.0
MARINA SUSHI BAR,1,0,0.0,0,marina sushi bar,2020 lombard street,37.80027,-122.4349155,2024-02-09,0,0.0
MARINA THEATRE,3,0,0.0,0,marina theatre,2149 chestnut street,37.800483,-122.438567,2025-03-11,0,0.0
MARINE MEMORIAL ASSN,1,1,1.0,0,marine memorial assn,609 sutter street,37.788687,-122.4104715,2025-02-04,0,0.0
MARINES MEMORIAL CLUB BANQUET,2,0,0.0,0,marines memorial club banquet,609 sutter street 10th floor,37.788954,-122.410467,2022-04-18,0,0.0
MARINKO S DESSERTS,2,1,0.5,0,marinko s desserts,147 fulton street,37.77967033,-122.4159105,2025-05-14,0,0.0
MARIPOSA BAKING CO INC,4,0,0.0,0,mariposa baking co inc,1 ferry building 32,37.795225,-122.39377,2023-01-26,0,0.0
MARIPOSA HUNTERS POINT YACHT CLUB,1,0,0.0,0,mariposa hunters point yacht club,405 terry francois boulevard,37.77325,-122.387222,2022-10-20,0,0.0
MARIPOSAS,2,6,3.0,0,mariposas,825 mission street,37.783863,-122.4048465,2025-02-27,0,0.0
MARISCOS FRESCOS ESTILO MASATLAN,1,0,0.0,0,mariscos frescos estilo masatlan,975 bayshore blvd,37.732156,-122.404191,2023-05-30,0,0.0
MARKET MAY FLOWER DELI,2,0,0.0,0,market may flower deli,985 bush street,37.789531,-122.413428,2022-03-09,0,0.0
MARKET MAYFLOWER DELI,3,15,5.0,0,market mayflower deli,985 bush street,37.789461,-122.4134055,2025-04-02,0,0.0
MARKET ST GYROS,2,1,0.5,0,market st gyros,1400 market street,37.776429,-122.417964,2025-01-16,0,0.0
MARLA,1,3,3.0,0,marla,244 clement street,37.783323,-122.4618165,2024-06-23,0,0.0
MARLENA,3,0,0.0,0,marlena,300 precita avenue,37.7466774,-122.4133609,2022-10-07,0,0.0
MARLEY S STREATS,2,0,0.0,0,marley s streats,428 11th street,37.769779,-122.4120171,2024-05-18,0,0.0
MARLOWE,3,10,3.3333333333333335,0,marlowe,500 brannan street,37.7783017,-122.3968833,2025-05-13,0,0.0
MARNEE THAI,17,15,0.8823529411764706,0,marnee thai,1243 9th avenue,37.765134,-122.4667305,2025-04-16,0,0.0
MARRAKECH MOROCCAN,3,5,1.6666666666666667,0,marrakech moroccan,419 ofarrell street,37.785744,-122.411781,2024-10-24,0,0.0
MARSH A BREEDG GRD FOR NEW PFR,3,8,2.6666666666666665,0,marsh a breedg grd for new pfr,1062 valencia street,37.755792,-122.4213165,2025-05-15,0,0.0
MARSHALL ELEMENTARY SCHOOL,8,9,1.125,0,marshall elementary school,1575 15th street,37.766295,-122.4190395,2025-03-04,0,0.0
MARTELLS LIQUOR GROCERY,1,2,2.0,0,martells liquor grocery,5615 geary boulevard,37.78002,-122.4797175,2024-07-05,0,0.0
MARTHA AND BROTHERS COFFEE,6,35,5.833333333333333,0,martha and brothers coffee,3850 24th street,37.751832,-122.4287235,2024-10-25,0,0.0
MARTHA BROS COFFEE CO,10,29,2.9,0,martha bros coffee co,745 cortland avenue,37.739052,-122.414778,2025-05-15,0,0.0
MARTHA BROTHERS COFFEE CO,3,0,0.0,0,martha brothers coffee co,3868 24th street,37.7517857,-122.4290069,2023-05-25,0,0.0
MARTHA S,4,18,4.5,0,martha s,2034 mission street,37.764441,-122.4199395,2025-05-29,0,0.0
MARTHITAS,3,11,3.6666666666666665,0,marthitas,1401 egbert avenue,37.722645,-122.3928405,2025-06-11,0,0.0
MARTIN DE PORRES HOUSE,13,28,2.1538461538461537,2,martin de porres house,225 potrero avenue,37.766619,-122.4072945,2025-06-17,0,0.15384615384615385
MARTIN DE PORRES HOUSE OF HOSP,4,0,0.0,0,martin de porres house of hosp,225 potrero avenue,37.766759,-122.407571,2023-06-02,0,0.0
MARTIN L KING MIDDLE SCHOOL,6,1,0.16666666666666666,0,martin l king middle school,350 girard street,37.727775,-122.405499,2024-10-21,0,0.0
MARTITA S,4,0,0.0,0,martita s,1401 egbert avenue,37.722776,-122.392864,2022-10-11,0,0.0
MARTUNI S,4,20,5.0,0,martuni s,4 valencia street,37.772307,-122.4226935,2025-06-03,0,0.0
MARU SUSHI,6,9,1.5,0,maru sushi,529 powell street,37.789664,-122.408724,2025-06-02,0,0.0
MARUFUKU RAMEN,5,0,0.0,0,marufuku ramen,1581 webster street 235,37.784979,-122.4318645,2023-05-30,0,0.0
MARUGAME UDON,5,0,0.0,0,marugame udon,3251 20th avenue op184,37.72792101,-122.476997,2024-01-09,0,0.0
MARUYA,2,0,0.0,0,maruya,2931 16th street,37.7649435,-122.4183001,2023-01-24,0,0.0
MARVIN GARDENS,10,18,1.8,1,marvin gardens,2020 jerrold avenue,37.743669,-122.396994,2025-05-08,0,0.1
MARYLAND MARKET,2,0,0.0,0,maryland market,300 turk street,37.782873,-122.414328,2025-04-03,0,0.0
MASALA DOSA,6,0,0.0,0,masala dosa,1375 ninth avenue,37.76265,-122.466555,2025-01-27,0,0.0
